,cm_TN,cm_TP,cm_FN,cm_FP,pr,rec,acc,thres
8833,44804,941,288,63812,0.014532145228792488,0.7656631407648494,0.4164504529109199,0.048414797
8834,44801,941,288,63815,0.014531471987151769,0.7656631407648494,0.4164231416996677,0.048414648
8835,44799,941,288,63817,0.014531023194045523,0.7656631407648494,0.41640493422549957,0.048414618
8836,44797,941,288,63819,0.014530574428659666,0.7656631407648494,0.4163867267513314,0.04841432
8837,44795,941,288,63821,0.014530125690991632,0.7656631407648494,0.4163685192771633,0.04841426
8838,44794,941,288,63822,0.014529901332550993,0.7656631407648494,0.4163594155400792,0.04841423
8839,44792,941,288,63824,0.014529452636454875,0.7656631407648494,0.4163412080659111,0.04841417
8840,44775,941,288,63841,0.014525639838226669,0.7656631407648494,0.4161864445354818,0.048412472
8841,44772,941,288,63844,0.014524967199197346,0.7656631407648494,0.4161591333242296,0.048412412
8842,44771,941,288,63845,0.01452474300003087,0.7656631407648494,0.41615002958714553,0.048412263
8843,44769,941,288,63847,0.01452429462246095,0.7656631407648494,0.4161318221129774,0.048412234
8844,44766,941,288,63850,0.01452362210800883,0.7656631407648494,0.4161045109017252,0.048411995
8845,44762,941,288,63854,0.014522725518944363,0.7656631407648494,0.41606809595338884,0.048411906
8846,44761,941,288,63855,0.014522501388974629,0.7656631407648494,0.41605899221630477,0.048411787
8847,44759,941,288,63857,0.014522053149788574,0.7656631407648494,0.4160407847421366,0.048411608
8848,44757,941,288,63859,0.014521604938271605,0.7656631407648494,0.4160225772679685,0.04841128
8849,44755,941,288,63861,0.01452115675442116,0.7656631407648494,0.41600436979380034,0.04841119
8850,44749,941,288,63867,0.014519812368843353,0.7656631407648494,0.4159497473712959,0.048410624
8851,44747,941,288,63869,0.01451936429563339,0.7656631407648494,0.4159315398971278,0.048410535
8852,44741,941,288,63875,0.014518020241915576,0.7656631407648494,0.41587691747462335,0.048410356
8853,44739,941,288,63877,0.01451757227930513,0.7656631407648494,0.4158587100004552,0.048410237
8854,44732,941,288,63884,0.014516004627844196,0.7656631407648494,0.41579498384086666,0.04840973
8855,44730,941,288,63886,0.014515556789609267,0.7656631407648494,0.4157767763666985,0.04840967
8856,44723,941,288,63893,0.014513989573371995,0.7656631407648494,0.41571305020711,0.048408985
8857,44721,941,288,63895,0.014513541859460794,0.7656631407648494,0.4156948427329419,0.048408926
